Private Site Code:,My_Yards,Sample Area (ha),Index,,,,,,,
Y1,Y06,0.021,1,,Bold = yard selected for study,,,,,
Y10,Y26,0.034,9,,,,,,,
Y11,,0.031,10,,,,,,,
Y12,,0.014,11,,,,,,,
Y13,Y03,0.036,12,,,,,,,
Y14,Y27,0.012,13,,,,,,,
Y15,Y19,0.026,14,,,,,,,
Y16,,0.022,15,,,,,,,
Y17,,0.045,16,,,,,,,
Y18,Y28,0.023,17,,,,,,,
Y19,,0.041,18,,,,,,,
Y2,Y29,0.034,2,,,,,,,
Y20,,0.045,19,,,,,,,
Y21,,0.028,20,,,,,,,
Y22,,0.039,21,,,,,,,
Y23,,0.027,22,,,,,,,
Y24,Y20,0.027,23,,,,,,,
Y25,,0.029,24,,,,,,,
Y26,Y30,0.014,25,,,,,,,
Y27,,0.025,26,,,,,,,
Y28,,0.037,27,,,,,,,
Y29,,0.042,28,,,,,,,
Y3,,0.015,3,,,,,,,
Y30,Y07,0.028,29,,,,,,,
Y31,Y31,0.021,30,,,,,,,
Y32,Y32,0.023,31,,,,,,,
Y33,Y05/Y22,0.036,32,,,,,,,
Y34,,0.012,33,,,,,,,
Y35,,0.018,34,,,,,,,
Y36,,0.026,35,,,,,,,
Y37,,0.012,36,,,,,,,
Y4,Y33,0.025,4,,,,,,,
Y40,Y18,0.035,37,,,,,,,
Y42,,0.016,38,,,,,,,
Y43,,0.03,39,,,,,,,
Y44,,0.018,40,,,,,,,
Y45,,0.011,41,,,,,,,
Y46,Y17,0.04,42,,,,,,,
Y47,Y10,0.018,43,,,,,,,
Y48,Y35,0.017,44,,,,,,,
Y49,Y36,0.009,45,,,,,,,
Y5,Y16,0.026,5,,,,,,,
Y50,Y37,0.018,46,,,,,,,
Y51,,0.014,47,,,,,,,
Y52,,0.031,48,,,,,,,
Y53,,0.032,49,,,,,,,
Y54,,0.047,50,,,,,,,
Y55,,0.02,51,,,,,,,
Y56,,0.011,52,,,,,,,
Y57,,0.017,53,,,,,,,
Y58,Y38,0.016,54,,,,,,,
Y59,,0.025,55,,,,,,,
Y6,Y01,0.035,6,,,,,,,
Y60,,0.019,56,,,,,,,
Y61,Y24,0.025,57,,,,,,,
Y62,Y04 / Y39,0.021,58,,,,,,,
Y63,Y15,0.01,59,,,,,,,
Y64,,0.034,60,,,,,,,
Y65,Y21,0.016,61,,,,,,,
Y66,Y40,0.023,62,,,,,,,
Y67,Y25,0.014,63,,,,,,,
Y68,Y41,0.015,64,,,,,,,
Y69,Y42,0.02,65,,,,,,,
Y70,Y43,0.015,66,,,,,,,
Y71,Y14,0.037,67,,,,,,,
Y72,Y44,0.015,68,,,,,,,
Y73,,0.021,69,,,,,,,
Y74,Y12,0.022,70,,,,,,,
Y75,,0.035,71,,,,,,,
Y76,Y45,0.02,72,,,,,,,
Y77,Y46,0.013,73,,,,,,,
Y78,,0.037,74,,,,,,,
Y79,,0.035,75,,,,,,,
Y8,Y09,0.016,7,,,,,,,
Y80,Y47,0.022,76,,,,,,,
Y81,Y13 / Y23,0.033,77,,,,,,,
Y82,,0.033,78,,,,,,,
Y83,Y08,0.039,79,,,,,,,
Y84,Y11,0.013,80,,,,,,,
Y85,,0.016,81,,,,,,,
Y86,,0.012,82,,,,,,,
Y87,Y48,0.011,83,,,,,,,
Y88,,0.038,84,,,,,,,
Y89,,0.029,85,,,,,,,
Y9,Y49,0.013,8,,,,,,,
Y90,,0.014,86,,,,,,,
Y91,Y02,0.039,87,,,,,,,
Y92,,0.034,88,,,,,,,
Y93,,0.031,89,,,,,,,