"","Yard.Code","indice660_class1_25m","indice660_class2_25m","indice660_class3_25m","indice660_class4_25m","indice660_class5_25m","indice660_class6_25m","indice660_class1_50m","indice660_class2_50m","indice660_class3_50m","indice660_class4_50m","indice660_class5_50m","indice660_class6_50m","indice660_class1_100m","indice660_class2_100m","indice660_class3_100m","indice660_class4_100m","indice660_class5_100m","indice660_class6_100m","indice660_class1_200m","indice660_class2_200m","indice660_class3_200m","indice660_class4_200m","indice660_class5_200m","indice660_class6_200m","indice660_class1_400m","indice660_class2_400m","indice660_class3_400m","indice660_class4_400m","indice660_class5_400m","indice660_class6_400m"
"1","Y03",0,0.0744525547445255,0.159124087591241,0.42287104622871,0.343552311435523,0,0,0.13446426344019,0.192840214544094,0.248596731944618,0.424098790071099,0,0,0.151022598156798,0.217396793334175,0.210705718974877,0.42087488953415,0,0,0.192876594866258,0.258918150709403,0.182975919206676,0.365229335217664,0,0,0.278618764287478,0.271607445817104,0.139270552064167,0.31050323783125,0
"2","Y18",0,0.0702519379844961,0.323158914728682,0.196220930232558,0.410368217054264,0,0,0.177379172894868,0.259840558046836,0.199427005480817,0.363353263577479,0,0,0.185691292959258,0.221762868053145,0.185785969009373,0.406759869978224,0,0,0.198188112365617,0.228701189398631,0.176464516538834,0.396646181696918,0,0,0.258294088949512,0.282199145750157,0.154896006531327,0.304610758769004,0
"3","Y28",0,0.0433300876338851,0.25365141187926,0.0861733203505355,0.616845180136319,0,0,0.222513089005236,0.256170531039641,0.0947394664672152,0.426576913487908,0,0,0.214743286313863,0.346587143803844,0.105998927072486,0.332670642809808,0,0,0.257615815172085,0.335953316660712,0.151514429756659,0.254916438410543,0,0,0.295441375890846,0.271358905277076,0.182508248853524,0.250691469978554,0
"4","Y31",0,0.0795730228044638,0.243085880640466,0.241145075206211,0.43619602134886,0,0,0.181738913801694,0.26818634778276,0.149103139013453,0.400971599402093,0,0,0.207635273702477,0.229152863227638,0.1309985802177,0.432213282852185,0,0,0.189200990822192,0.241298548699546,0.142240147353044,0.427260313125218,0,0,0.229128127520186,0.265263493264569,0.169127530142674,0.336480849072571,0
"5","Y44",0,0.116358325219085,0.245861733203505,0.156280428432327,0.481499513145083,0,0,0.215862326973438,0.26025688988652,0.180571143534106,0.343309639605936,0,0,0.271863657882279,0.228183683130819,0.155751933091368,0.344200725895534,0,0,0.30815647603395,0.207250553795584,0.207647539877252,0.276945430293214,0,0,0.263065875990171,0.238112970094746,0.223070734747683,0.2757504191674,0
"6","Y05",0,0.184376516254246,0.239689471130519,0.0912178554099951,0.48471615720524,0,0,0.258382151314969,0.240309111304998,0.126261996759317,0.375046740620715,0,0,0.192438778086342,0.244635193133047,0.138696036354456,0.424229992426155,0,0,0.179361159852954,0.248676030393737,0.145942340825903,0.426020468927406,0,0,0.230714547424093,0.25473524070475,0.171081976614522,0.343468235256635,0
"7","Y07",0,0.123114355231144,0.22287104622871,0.361557177615572,0.292457420924574,0,0,0.303279710687118,0.17583239805462,0.192667414889637,0.328220476368625,0,0,0.248895341497286,0.228979926776922,0.213072844337836,0.309051887387956,0,0,0.300291383156942,0.213019348794372,0.228049003183778,0.258640264864908,0,0,0.269557338855812,0.19452796750234,0.244449312013381,0.291465381628467,0
"8","Y20",0,0.0432879377431907,0.287937743190661,0.108463035019455,0.560311284046693,0,0,0.0989778110196958,0.232734978808277,0.113936674146098,0.554350536025929,0,0,0.171079622558147,0.224319121406255,0.145801117177391,0.458800138858207,0,0,0.186513481754375,0.270595801441865,0.141439324165529,0.401451392638232,0,0,0.225383019311262,0.259369884944862,0.166328152068722,0.348918943675153,0
"9","Y32",0,0.0762506070908208,0.263720252549781,0.0534239922292375,0.60660514813016,0,0,0.136250311642982,0.25243081525804,0.149339316878584,0.461979556220394,0,0,0.186097876502698,0.229167324014767,0.201621809232323,0.383112990250213,0,0,0.256053989678444,0.253410083366415,0.193870583564907,0.296665343390234,0,0,0.255465019494458,0.260755803534092,0.226741060227721,0.257038116743729,0
"10","Y45",0,0.111165285226719,0.312530472940029,0.0955631399317406,0.480741101901511,0,0,0.242798353909465,0.241426611796982,0.14602818306522,0.369746851228333,0,0,0.24087867693473,0.249305643226865,0.182331776290872,0.327483903547532,0,0,0.227619554256949,0.280657736984605,0.170381192088736,0.32134151666971,0,0,0.265484364296752,0.273314163732815,0.199440842400395,0.261760629570038,0
"11","Y13",0,0.0603994154895275,0.180711154408183,0.388699464198734,0.370189965903556,0,0,0.115782907049283,0.231316281971304,0.267248908296943,0.38565190268247,0,0,0.147271407379352,0.233342802133636,0.209828614714516,0.409557175772496,0,0,0.214834165746909,0.267454878949333,0.179721928870326,0.337989026433432,0,0,0.225263992130516,0.302680443574482,0.157977112385079,0.314078451909923,0
"12","Y47",0,0.12133072407045,0.326810176125245,0.209882583170254,0.341976516634051,0,0,0.247503744383425,0.29318522216675,0.173489765351972,0.285821268097853,0,0,0.32623240547876,0.218424540806665,0.166603547307959,0.288739506406615,0,0,0.293680474500369,0.242284207935336,0.212556473960442,0.251478843603853,0,0,0.28592962822836,0.291947270953225,0.180947450168263,0.241175650650152,0
"13","Y50",0,0.0228710462287105,0.242335766423358,0.512408759124088,0.222384428223844,0,0,0.230970474648063,0.300859598853868,0.282297246792077,0.185872679705992,0,0,0.263048280214579,0.331618807194699,0.245440201956453,0.15989271063427,0,0,0.256542382570585,0.341712452758281,0.220773652618541,0.180971512052593,0,0,0.243404375643433,0.312219104759363,0.214596496538156,0.229780023059047,0
"14","Y06",0,0.159124087591241,0.354744525547445,0.256934306569343,0.229197080291971,0,0,0.195885286783042,0.29139650872818,0.170448877805486,0.342269326683292,0,0,0.201969199697046,0.318764200959354,0.170979550618531,0.308287048725069,0,0,0.231315850066297,0.365425688175373,0.166551540702983,0.236706921055348,0,0,0.266608255839423,0.350016925864713,0.163460045002887,0.219914773292977,0
"15","Y26",0,0.0749027237354086,0.210603112840467,0.624027237354086,0.0904669260700389,0,0,0.138636080289241,0.256950504924573,0.38237127540207,0.222042139384117,0,0,0.22148582970397,0.325096257022029,0.240326958278104,0.213090954995897,0,0,0.240321709857724,0.348243775406504,0.19604293699187,0.215391577743902,0,0,0.247858380294311,0.336430434696031,0.191718273960055,0.223992911049603,0
"16","Y27",0,0.013533107781537,0.598356694055099,0.0565490575157081,0.331561140647656,0,0,0.0938394523957685,0.573739887990044,0.0660858742999378,0.26633478531425,0,0,0.112468048849759,0.538388715327085,0.0778819148600461,0.27126132096311,0,0,0.242384305755139,0.458394531467088,0.0820676897671428,0.217153473010631,0,0,0.240779053721732,0.425359269930844,0.101404025097621,0.232457651249803,0
"17","Y33",0,0.128717698683569,0.340321794246709,0.246708922476841,0.284251584592882,0,0,0.210303105899963,0.317450417862043,0.195210178370962,0.277036297867033,0,0,0.210856872337068,0.40164115512072,0.112797853874073,0.27470411866814,0,0,0.290056213675485,0.420459237145489,0.0812001778511767,0.20828437132785,0,0,0.389469785520706,0.340490608192468,0.0822651848990328,0.187774421387793,0
"18","Y04",0,0.12980068060282,0.224598930481283,0.116188624210015,0.529411764705882,0,0,0.115097159940209,0.420528151469856,0.0939212755356253,0.37045341305431,0,0,0.225903139296419,0.384697901877268,0.106515223221328,0.282883735604985,0,0,0.213271195725525,0.340036679184166,0.140659113824559,0.306033011265749,0,0,0.20967802958647,0.363327352849226,0.14272514929638,0.284269468267923,0
"19","Y24",0,0.0520934761441091,0.209347614410906,0.277507302823759,0.461051606621227,0,0,0.175348953140578,0.132228315054835,0.382976071784646,0.30944666001994,0,0,0.211001357023385,0.0782024173951463,0.442200271404677,0.268595954176792,0,0,0.23255019968717,0.180718873812,0.309685820225968,0.277045106274862,0,0,0.242067324445683,0.270134111251605,0.184398490626151,0.30340007367656,0
"20","Y09",0,0.0691823899371069,0.677793904208999,0.0420899854862119,0.210933720367683,0,0,0.106102117061021,0.477085927770859,0.049439601494396,0.367372353673724,0,0,0.089437308675482,0.472465048758166,0.0563638085019093,0.381733834064443,0,0,0.181413997062443,0.459291016632924,0.0580127823429002,0.301282203961732,0,0,0.194407716570555,0.465188613120082,0.0613132029184057,0.279090467390958,0
"21","Y49",0,0.122081712062257,0.435311284046693,0.103112840466926,0.339494163424125,0,0,0.206531222734638,0.405833229465287,0.114171756200922,0.273463791599152,0,0,0.225739262157983,0.336352447375895,0.124341212484615,0.313567077981507,0,0,0.231251091668387,0.326420756784223,0.147942899788812,0.294385251758579,0,0,0.223252813161474,0.400724422682116,0.105746197179172,0.270276566977238,0
"22","Y25",0,0.0126030053320407,0.499757634512845,0.0387784779447407,0.448860882210373,0,0,0.0734653218777238,0.460465695430208,0.0427095006848462,0.423359482007222,0,0,0.116689280868385,0.486699693919409,0.0480262535104604,0.348584771701745,0,0,0.183448724870582,0.437982341918887,0.0692905008416172,0.309278432368914,0,0,0.191140979689367,0.392035045798487,0.107837514934289,0.308986459577857,0
