Yard.Code,back_area_ha,back_perimeter_m,diagonal_1_m,diagonal_2_m,short_radius_m,long_radius_m,lat,long,utm_zone,utm_easting,utm_northing
Y03,0.025,63,22,23,8,12,45.45522,-73.64425,18,606004,5034416
Y18,0.023,61,21,22,7,11,45.45611,-73.64467,18,605970,5034514
Y28,0.017,53,18,19,6,9,45.45695,-73.64222,18,606160,5034610
Y31,0.012,44,16,16,5,8,45.45683,-73.64613,18,605854,5034592
Y44,0.013,47,17,17,5,9,45.45869,-73.64452,18,605977,5034801
Y05,0.028,67,24,24,8,12,45.45684,-73.64661,18,605817,5034592
Y07,0.018,54,20,19,6,10,45.45973,-73.64753,18,605739,5034912
Y20,0.010,42,15,15,4,8,45.45651,-73.64796,18,605712,5034554
Y32,0.008,36,13,13,3,7,45.46159,-73.64083,18,606260,5035128
Y45,0.010,43,16,16,4,8,45.46106,-73.63924,18,606385,5035071
Y13,0.024,66,25,25,5,13,45.46264,-73.63638,18,606606,5035250
Y47,0.012,44,16,16,5,8,45.46590,-73.63530,18,606684,5035614
Y50,0.017,53,19,19,6,9,45.46545,-73.64377,18,606023,5035553
Y06,0.012,45,16,16,6,8,45.46962,-73.64567,18,605866,5036013
Y26,0.019,55,20,20,6,10,45.46607,-73.64294,18,606086,5035623
Y27,0.010,41,15,15,3,8,45.46766,-73.61857,18,607988,5035832
Y33,0.017,52,18,18,6,9,45.46423,-73.62443,18,607537,5035443
Y04,0.025,64,23,23,7,12,45.47319,-73.63032,18,607059,5036430
Y24,0.016,51,18,18,6,9,45.47503,-73.63509,18,606683,5036628
Y09,0.002,20,7,8,2,4,45.47685,-73.62441,18,607514,5036845
Y49,0.008,37,13,13,3,7,45.47218,-73.61609,18,608174,5036337
,,,,,,,,,,,