"Yard.Code","area","shrub","tree","mean_dbh","n_fruiting_plants","proportion_fruit","n_native_plants","proportion_native","season","richness","year","area_scale","shrub_scale","tree_scale","mean_dbh_scale","n_fruiting_plants_scale","proportion_fruit_scale","n_native_plants_scale","proportion_native_scale","richness_scale"
"Y03",3600000,10,1,5.9025974025974,0,0,0,0,"migration",3,"2024",1.65719042260076,1.11612907201053,-0.761954753092078,-0.80578341612324,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.00407324270766847
"Y03",3600000,10,1,5.9025974025974,0,0,0,0,"migration",6,"2025",1.65719042260076,1.11612907201053,-0.761954753092078,-0.80578341612324,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,1.02238391962479
"Y03",3600000,10,1,5.9025974025974,0,0,0,0,"breeding",4,"2024",1.65719042260076,1.11612907201053,-0.761954753092078,-0.80578341612324,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.338079144736484
"Y03",3600000,10,1,5.9025974025974,0,0,0,0,"breeding",2,"2025",1.65719042260076,1.11612907201053,-0.761954753092078,-0.80578341612324,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y18",3500000,17,13,21.0333333333333,1,0.0333333333333333,6,0.2,"migration",9,"2024",1.52115240283502,2.54849471442405,2.11170317285519,-0.0508908090552532,1.22184584155478,-0.206209936256682,2.70195234778097,0.237229848627,2.04884108195725
"Y18",3500000,17,13,21.0333333333333,1,0.0333333333333333,6,0.2,"migration",16,"2025",1.52115240283502,2.54849471442405,2.11170317285519,-0.0508908090552532,1.22184584155478,-0.206209936256682,2.70195234778097,0.237229848627,4.44390779406631
"Y18",3500000,17,13,21.0333333333333,1,0.0333333333333333,6,0.2,"breeding",7,"2024",1.52115240283502,2.54849471442405,2.11170317285519,-0.0508908090552532,1.22184584155478,-0.206209936256682,2.70195234778097,0.237229848627,1.36453630706894
"Y18",3500000,17,13,21.0333333333333,1,0.0333333333333333,6,0.2,"breeding",4,"2025",1.52115240283502,2.54849471442405,2.11170317285519,-0.0508908090552532,1.22184584155478,-0.206209936256682,2.70195234778097,0.237229848627,0.338079144736484
"Y28",2300000,3,2,30.05,0,0,2,0.4,"migration",2,"2024",-0.111303834353782,-0.316236570402984,-0.522483259263139,0.398962723398273,-0.570194726058898,-0.362645060313474,0.43745895154549,1.15285382578384,-0.346225630151821
"Y28",2300000,3,2,30.05,0,0,2,0.4,"migration",14,"2025",-0.111303834353782,-0.316236570402984,-0.522483259263139,0.398962723398273,-0.570194726058898,-0.362645060313474,0.43745895154549,1.15285382578384,3.75960301917801
"Y28",2300000,3,2,30.05,0,0,2,0.4,"breeding",4,"2024",-0.111303834353782,-0.316236570402984,-0.522483259263139,0.398962723398273,-0.570194726058898,-0.362645060313474,0.43745895154549,1.15285382578384,0.338079144736484
"Y28",2300000,3,2,30.05,0,0,2,0.4,"breeding",2,"2025",-0.111303834353782,-0.316236570402984,-0.522483259263139,0.398962723398273,-0.570194726058898,-0.362645060313474,0.43745895154549,1.15285382578384,-0.346225630151821
"Y31",2100000,2,4,31.1666666666667,0,0,0,0,"migration",0,"2024",-0.38337987388525,-0.520860233604914,-0.0435402716052616,0.454674713554257,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-1.03053040504013
"Y31",2100000,2,4,31.1666666666667,0,0,0,0,"migration",7,"2025",-0.38337987388525,-0.520860233604914,-0.0435402716052616,0.454674713554257,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,1.36453630706894
"Y31",2100000,2,4,31.1666666666667,0,0,0,0,"breeding",5,"2024",-0.38337987388525,-0.520860233604914,-0.0435402716052616,0.454674713554257,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.680231532180636
"Y31",2100000,2,4,31.1666666666667,0,0,0,0,"breeding",1,"2025",-0.38337987388525,-0.520860233604914,-0.0435402716052616,0.454674713554257,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y44",1500000,3,2,24.2428571428571,1,0.2,3,0.6,"migration",1,"2024",-1.19960799247965,-0.316236570402984,-0.522483259263139,0.109236616808848,1.22184584155478,0.575965684027282,1.00358230060436,2.06847780294069,-0.688378017595973
"Y44",1500000,3,2,24.2428571428571,1,0.2,3,0.6,"migration",3,"2025",-1.19960799247965,-0.316236570402984,-0.522483259263139,0.109236616808848,1.22184584155478,0.575965684027282,1.00358230060436,2.06847780294069,-0.00407324270766847
"Y44",1500000,3,2,24.2428571428571,1,0.2,3,0.6,"breeding",1,"2024",-1.19960799247965,-0.316236570402984,-0.522483259263139,0.109236616808848,1.22184584155478,0.575965684027282,1.00358230060436,2.06847780294069,-0.688378017595973
"Y44",1500000,3,2,24.2428571428571,1,0.2,3,0.6,"breeding",1,"2025",-1.19960799247965,-0.316236570402984,-0.522483259263139,0.109236616808848,1.22184584155478,0.575965684027282,1.00358230060436,2.06847780294069,-0.688378017595973
"Y05",3600000,3,4,28.7142857142857,0,0,3,0.428571428571429,"migration",4,"2024",1.65719042260076,-0.316236570402984,-0.0435402716052616,0.332322155215958,-0.570194726058898,-0.362645060313474,1.00358230060436,1.28365725109197,0.338079144736484
"Y05",3600000,3,4,28.7142857142857,0,0,3,0.428571428571429,"migration",4,"2025",1.65719042260076,-0.316236570402984,-0.0435402716052616,0.332322155215958,-0.570194726058898,-0.362645060313474,1.00358230060436,1.28365725109197,0.338079144736484
"Y05",3600000,3,4,28.7142857142857,0,0,3,0.428571428571429,"breeding",2,"2024",1.65719042260076,-0.316236570402984,-0.0435402716052616,0.332322155215958,-0.570194726058898,-0.362645060313474,1.00358230060436,1.28365725109197,-0.346225630151821
"Y05",3600000,3,4,28.7142857142857,0,0,3,0.428571428571429,"breeding",2,"2025",1.65719042260076,-0.316236570402984,-0.0435402716052616,0.332322155215958,-0.570194726058898,-0.362645060313474,1.00358230060436,1.28365725109197,-0.346225630151821
"Y07",2800000,0,1,18,1,1,0,0,"migration",0,"2024",0.568886264474887,-0.930107560008776,-0.761954753092078,-0.20222785694165,1.22184584155478,4.33040866139031,-0.69478774657225,-0.678394128529843,-1.03053040504013
"Y07",2800000,0,1,18,1,1,0,0,"migration",1,"2025",0.568886264474887,-0.930107560008776,-0.761954753092078,-0.20222785694165,1.22184584155478,4.33040866139031,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y07",2800000,0,1,18,1,1,0,0,"breeding",4,"2024",0.568886264474887,-0.930107560008776,-0.761954753092078,-0.20222785694165,1.22184584155478,4.33040866139031,-0.69478774657225,-0.678394128529843,0.338079144736484
"Y07",2800000,0,1,18,1,1,0,0,"breeding",1,"2025",0.568886264474887,-0.930107560008776,-0.761954753092078,-0.20222785694165,1.22184584155478,4.33040866139031,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y20",2700000,6,2,4.29166666666667,0,0,0,0,"migration",3,"2024",0.432848244709153,0.297634419202808,-0.522483259263139,-0.886154900274412,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.00407324270766847
"Y20",2700000,6,2,4.29166666666667,0,0,0,0,"migration",2,"2025",0.432848244709153,0.297634419202808,-0.522483259263139,-0.886154900274412,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y20",2700000,6,2,4.29166666666667,0,0,0,0,"breeding",3,"2024",0.432848244709153,0.297634419202808,-0.522483259263139,-0.886154900274412,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.00407324270766847
"Y20",2700000,6,2,4.29166666666667,0,0,0,0,"breeding",0,"2025",0.432848244709153,0.297634419202808,-0.522483259263139,-0.886154900274412,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-1.03053040504013
"Y32",2300000,5,2,9.57142857142857,0,0,0,0,"migration",2,"2024",-0.111303834353782,0.0930107560008775,-0.522483259263139,-0.622740533172302,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y32",2300000,5,2,9.57142857142857,0,0,0,0,"migration",1,"2025",-0.111303834353782,0.0930107560008775,-0.522483259263139,-0.622740533172302,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y32",2300000,5,2,9.57142857142857,0,0,0,0,"breeding",4,"2024",-0.111303834353782,0.0930107560008775,-0.522483259263139,-0.622740533172302,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.338079144736484
"Y32",2300000,5,2,9.57142857142857,0,0,0,0,"breeding",3,"2025",-0.111303834353782,0.0930107560008775,-0.522483259263139,-0.622740533172302,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.00407324270766847
"Y45",2e+06,2,5,10.7142857142857,0,0,4,0.571428571428571,"migration",1,"2024",-0.519417893650984,-0.520860233604914,0.195931222223677,-0.565721865208824,-0.570194726058898,-0.362645060313474,1.56970564966323,1.93767437763256,-0.688378017595973
"Y45",2e+06,2,5,10.7142857142857,0,0,4,0.571428571428571,"migration",1,"2025",-0.519417893650984,-0.520860233604914,0.195931222223677,-0.565721865208824,-0.570194726058898,-0.362645060313474,1.56970564966323,1.93767437763256,-0.688378017595973
"Y45",2e+06,2,5,10.7142857142857,0,0,4,0.571428571428571,"breeding",1,"2024",-0.519417893650984,-0.520860233604914,0.195931222223677,-0.565721865208824,-0.570194726058898,-0.362645060313474,1.56970564966323,1.93767437763256,-0.688378017595973
"Y45",2e+06,2,5,10.7142857142857,0,0,4,0.571428571428571,"breeding",3,"2025",-0.519417893650984,-0.520860233604914,0.195931222223677,-0.565721865208824,-0.570194726058898,-0.362645060313474,1.56970564966323,1.93767437763256,-0.00407324270766847
"Y13",3300000,19,6,11.9007142857143,0,0,4,0.16,"migration",5,"2024",1.24907636330356,2.95774204082791,0.435402716052616,-0.506529360529237,-0.570194726058898,-0.362645060313474,1.56970564966323,0.0541050531956316,0.680231532180636
"Y13",3300000,19,6,11.9007142857143,0,0,4,0.16,"migration",11,"2025",1.24907636330356,2.95774204082791,0.435402716052616,-0.506529360529237,-0.570194726058898,-0.362645060313474,1.56970564966323,0.0541050531956316,2.73314585684555
"Y13",3300000,19,6,11.9007142857143,0,0,4,0.16,"breeding",2,"2024",1.24907636330356,2.95774204082791,0.435402716052616,-0.506529360529237,-0.570194726058898,-0.362645060313474,1.56970564966323,0.0541050531956316,-0.346225630151821
"Y13",3300000,19,6,11.9007142857143,0,0,4,0.16,"breeding",1,"2025",1.24907636330356,2.95774204082791,0.435402716052616,-0.506529360529237,-0.570194726058898,-0.362645060313474,1.56970564966323,0.0541050531956316,-0.688378017595973
"Y47",2200000,6,4,18.625,1,0.1,0,0,"migration",2,"2024",-0.247341854119516,0.297634419202808,-0.0435402716052616,-0.171045772899123,1.22184584155478,0.106660311856904,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y47",2200000,6,4,18.625,1,0.1,0,0,"migration",8,"2025",-0.247341854119516,0.297634419202808,-0.0435402716052616,-0.171045772899123,1.22184584155478,0.106660311856904,-0.69478774657225,-0.678394128529843,1.70668869451309
"Y47",2200000,6,4,18.625,1,0.1,0,0,"breeding",5,"2024",-0.247341854119516,0.297634419202808,-0.0435402716052616,-0.171045772899123,1.22184584155478,0.106660311856904,-0.69478774657225,-0.678394128529843,0.680231532180636
"Y47",2200000,6,4,18.625,1,0.1,0,0,"breeding",2,"2025",-0.247341854119516,0.297634419202808,-0.0435402716052616,-0.171045772899123,1.22184584155478,0.106660311856904,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y50",2400000,2,2,30,0,0,0,0,"migration",NA,"2024",0.0247341854119518,-0.520860233604914,-0.522483259263139,0.396468156674871,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,NA
"Y50",2400000,2,2,30,0,0,0,0,"migration",8,"2025",0.0247341854119518,-0.520860233604914,-0.522483259263139,0.396468156674871,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,1.70668869451309
"Y50",2400000,2,2,30,0,0,0,0,"breeding",NA,"2024",0.0247341854119518,-0.520860233604914,-0.522483259263139,0.396468156674871,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,NA
"Y50",2400000,2,2,30,0,0,0,0,"breeding",1,"2025",0.0247341854119518,-0.520860233604914,-0.522483259263139,0.396468156674871,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y06",2100000,1,4,7.2,1,0.2,3,0.6,"migration",0,"2024",-0.38337987388525,-0.725483896806845,-0.0435402716052616,-0.741054269196519,1.22184584155478,0.575965684027282,1.00358230060436,2.06847780294069,-1.03053040504013
"Y06",2100000,1,4,7.2,1,0.2,3,0.6,"migration",0,"2025",-0.38337987388525,-0.725483896806845,-0.0435402716052616,-0.741054269196519,1.22184584155478,0.575965684027282,1.00358230060436,2.06847780294069,-1.03053040504013
"Y06",2100000,1,4,7.2,1,0.2,3,0.6,"breeding",3,"2024",-0.38337987388525,-0.725483896806845,-0.0435402716052616,-0.741054269196519,1.22184584155478,0.575965684027282,1.00358230060436,2.06847780294069,-0.00407324270766847
"Y06",2100000,1,4,7.2,1,0.2,3,0.6,"breeding",1,"2025",-0.38337987388525,-0.725483896806845,-0.0435402716052616,-0.741054269196519,1.22184584155478,0.575965684027282,1.00358230060436,2.06847780294069,-0.688378017595973
"Y26",3400000,0,4,17,0,0,0,0,"migration",2,"2024",1.38511438306929,-0.930107560008776,-0.0435402716052616,-0.252119191409693,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y26",3400000,0,4,17,0,0,0,0,"migration",2,"2025",1.38511438306929,-0.930107560008776,-0.0435402716052616,-0.252119191409693,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y26",3400000,0,4,17,0,0,0,0,"breeding",5,"2024",1.38511438306929,-0.930107560008776,-0.0435402716052616,-0.252119191409693,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.680231532180636
"Y26",3400000,0,4,17,0,0,0,0,"breeding",3,"2025",1.38511438306929,-0.930107560008776,-0.0435402716052616,-0.252119191409693,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.00407324270766847
"Y27",1200000,0,1,106,0,0,0,0,"migration",1,"2024",-1.60772205177685,-0.930107560008776,-0.761954753092078,4.18820957624617,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y27",1200000,0,1,106,0,0,0,0,"migration",3,"2025",-1.60772205177685,-0.930107560008776,-0.761954753092078,4.18820957624617,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.00407324270766847
"Y27",1200000,0,1,106,0,0,0,0,"breeding",4,"2024",-1.60772205177685,-0.930107560008776,-0.761954753092078,4.18820957624617,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.338079144736484
"Y27",1200000,0,1,106,0,0,0,0,"breeding",0,"2025",-1.60772205177685,-0.930107560008776,-0.761954753092078,4.18820957624617,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-1.03053040504013
"Y33",2500000,4,3,15.5731292517007,0,0,0,0,"migration",4,"2024",0.160772205177686,-0.111612907201053,-0.2830117654342,-0.323307677155761,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.338079144736484
"Y33",2500000,4,3,15.5731292517007,0,0,0,0,"migration",2,"2025",0.160772205177686,-0.111612907201053,-0.2830117654342,-0.323307677155761,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y33",2500000,4,3,15.5731292517007,0,0,0,0,"breeding",6,"2024",0.160772205177686,-0.111612907201053,-0.2830117654342,-0.323307677155761,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,1.02238391962479
"Y33",2500000,4,3,15.5731292517007,0,0,0,0,"breeding",0,"2025",0.160772205177686,-0.111612907201053,-0.2830117654342,-0.323307677155761,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-1.03053040504013
"Y04",2100000,1,19,25.45,0,0,1,0.05,"migration",0,"2024",-0.38337987388525,-0.725483896806845,3.54853213582882,0.169462584845274,-0.570194726058898,-0.362645060313474,-0.12866439751338,-0.449488134240632,-1.03053040504013
"Y04",2100000,1,19,25.45,0,0,1,0.05,"migration",5,"2025",-0.38337987388525,-0.725483896806845,3.54853213582882,0.169462584845274,-0.570194726058898,-0.362645060313474,-0.12866439751338,-0.449488134240632,0.680231532180636
"Y04",2100000,1,19,25.45,0,0,1,0.05,"breeding",2,"2024",-0.38337987388525,-0.725483896806845,3.54853213582882,0.169462584845274,-0.570194726058898,-0.362645060313474,-0.12866439751338,-0.449488134240632,-0.346225630151821
"Y04",2100000,1,19,25.45,0,0,1,0.05,"breeding",0,"2025",-0.38337987388525,-0.725483896806845,3.54853213582882,0.169462584845274,-0.570194726058898,-0.362645060313474,-0.12866439751338,-0.449488134240632,-1.03053040504013
"Y24",2500000,5,7,16.25,2,0.166666666666667,0,0,"migration",1,"2024",0.160772205177686,0.0930107560008775,0.674874209881555,-0.289537692260726,3.01388640916846,0.419530559970491,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y24",2500000,5,7,16.25,2,0.166666666666667,0,0,"migration",3,"2025",0.160772205177686,0.0930107560008775,0.674874209881555,-0.289537692260726,3.01388640916846,0.419530559970491,-0.69478774657225,-0.678394128529843,-0.00407324270766847
"Y24",2500000,5,7,16.25,2,0.166666666666667,0,0,"breeding",2,"2024",0.160772205177686,0.0930107560008775,0.674874209881555,-0.289537692260726,3.01388640916846,0.419530559970491,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y24",2500000,5,7,16.25,2,0.166666666666667,0,0,"breeding",1,"2025",0.160772205177686,0.0930107560008775,0.674874209881555,-0.289537692260726,3.01388640916846,0.419530559970491,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y09",1600000,4,2,13.1666666666667,0,0,0,0,"migration",1,"2024",-1.06356997271392,-0.111612907201053,-0.522483259263139,-0.443369306870525,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y09",1600000,4,2,13.1666666666667,0,0,0,0,"migration",1,"2025",-1.06356997271392,-0.111612907201053,-0.522483259263139,-0.443369306870525,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y09",1600000,4,2,13.1666666666667,0,0,0,0,"breeding",1,"2024",-1.06356997271392,-0.111612907201053,-0.522483259263139,-0.443369306870525,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y09",1600000,4,2,13.1666666666667,0,0,0,0,"breeding",1,"2025",-1.06356997271392,-0.111612907201053,-0.522483259263139,-0.443369306870525,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y49",1300000,5,2,17.0714285714286,0,0,0,0,"migration",5,"2024",-1.47168403201112,0.0930107560008775,-0.522483259263139,-0.248555524661975,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.680231532180636
"Y49",1300000,5,2,17.0714285714286,0,0,0,0,"migration",4,"2025",-1.47168403201112,0.0930107560008775,-0.522483259263139,-0.248555524661975,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.338079144736484
"Y49",1300000,5,2,17.0714285714286,0,0,0,0,"breeding",2,"2024",-1.47168403201112,0.0930107560008775,-0.522483259263139,-0.248555524661975,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y49",1300000,5,2,17.0714285714286,0,0,0,0,"breeding",5,"2025",-1.47168403201112,0.0930107560008775,-0.522483259263139,-0.248555524661975,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.680231532180636
"Y25",1400000,2,2,23.25,0,0,1,0.25,"migration",1,"2024",-1.33564601224539,-0.520860233604914,-0.522483259263139,0.0597016490155781,-0.570194726058898,-0.362645060313474,-0.12866439751338,0.466135842916211,-0.688378017595973
"Y25",1400000,2,2,23.25,0,0,1,0.25,"migration",NA,"2025",-1.33564601224539,-0.520860233604914,-0.522483259263139,0.0597016490155781,-0.570194726058898,-0.362645060313474,-0.12866439751338,0.466135842916211,NA
"Y25",1400000,2,2,23.25,0,0,1,0.25,"breeding",3,"2024",-1.33564601224539,-0.520860233604914,-0.522483259263139,0.0597016490155781,-0.570194726058898,-0.362645060313474,-0.12866439751338,0.466135842916211,-0.00407324270766847
"Y25",1400000,2,2,23.25,0,0,1,0.25,"breeding",NA,"2025",-1.33564601224539,-0.520860233604914,-0.522483259263139,0.0597016490155781,-0.570194726058898,-0.362645060313474,-0.12866439751338,0.466135842916211,NA
